,count,unique,top,freq
MSZoning,1460,5,RL,1151
LotShape,1460,4,Reg,925
LotConfig,1460,5,Inside,1052
Neighborhood,1460,23,NAmes,225
BldgType,1460,5,1Fam,1220
HouseStyle,1460,6,1Story,726
RoofStyle,1460,3,Gable,1141
Exterior1st,1460,11,VinylSd,515
Exterior2nd,1460,11,VinylSd,504
MasVnrType,588,3,BrkFace,445
ExterQual,1460,4,TA,906
Foundation,1460,5,PConc,647
BsmtQual,1423,4,TA,649
BsmtExposure,1422,4,No,953
BsmtFinType1,1423,6,Unf,430
HeatingQC,1460,5,Ex,741
KitchenQual,1460,4,TA,735
FireplaceQu,770,5,Gd,380
GarageType,1379,5,Attchd,870
GarageFinish,1379,3,Unf,605
Fence,281,4,MnPrv,157
SaleCondition,1460,5,Normal,1198
